Generator,P_before_MW,P_after_MW,Redispatch_MW
NE_G1,69.91803772424647,248.07353735525734,178.15549963101085
NE_G2,69.91403991476132,248.03439321449034,178.120353299729
NE_G7,500.0984806083168,519.9999999999823,19.901519391665488
NE_G8,500.0984806083179,519.9999999999823,19.90151939166435
NW_G5,80.0680928057648,516.9600979495224,436.89200514375756
NW_G6,0.0,80.0000000000337,80.0000000000337
SE_G1,358.83538520280064,379.99999999998505,21.164614797184413
SE_G2,358.83520209734064,379.99999999998505,21.16479790264441
SE_G5,0.0,80.00000000003371,80.00000000003371
SE_G6,0.0,80.00000000003368,80.00000000003368
SW_G1,357.53225733339076,96.01057220008406,-261.52168513330673
SW_G2,357.6013796478401,96.39501866013906,-261.20636098770103
SW_G3,0.0,30.000000000145985,30.000000000145985
SW_G4,0.0,30.000000000145825,30.000000000145825
SW_G5,0.0,80.00000000003372,80.00000000003372
SW_G6,0.0,80.00000000003371,80.00000000003371
SW_G7,0.0,80.00000000003374,80.00000000003374
SW_G8,567.6701179132021,207.4277365628574,-360.2423813503448
